Year,Country,Units,Source,Electricity Generation (GWh)
2010,World,GWh,Natural gas,4841878
2015,World,GWh,Natural gas,5525879
2018,World,GWh,Natural gas,6150200
1990,China,GWh,Nuclear,NA
1995,China,GWh,Nuclear,12833
2000,China,GWh,Nuclear,16737
2005,China,GWh,Nuclear,53088
2010,China,GWh,Nuclear,73880
2015,China,GWh,Nuclear,170789
2018,China,GWh,Nuclear,295000
1990,India,GWh,Nuclear,6141
1995,India,GWh,Nuclear,7982
2000,India,GWh,Nuclear,16902
2005,India,GWh,Nuclear,17324
2010,India,GWh,Nuclear,26266
2015,India,GWh,Nuclear,37414
2019,India,GWh,Nuclear,46472
1990,Japan,GWh,Nuclear,202272
1995,Japan,GWh,Nuclear,291254
2000,Japan,GWh,Nuclear,322050
2005,Japan,GWh,Nuclear,304755
2010,Japan,GWh,Nuclear,288230
2015,Japan,GWh,Nuclear,9437
2019,Japan,GWh,Nuclear,63779
1990,Russian Federation,GWh,Nuclear,118305
1995,Russian Federation,GWh,Nuclear,99532
2000,Russian Federation,GWh,Nuclear,130715
2005,Russian Federation,GWh,Nuclear,149446
2010,Russian Federation,GWh,Nuclear,170415
2015,Russian Federation,GWh,Nuclear,195470
2019,Russian Federation,GWh,Nuclear,208986
1990,United States,GWh,Nuclear,611589
1995,United States,GWh,Nuclear,713806
2000,United States,GWh,Nuclear,797718
2005,United States,GWh,Nuclear,810726
2010,United States,GWh,Nuclear,838931
2015,United States,GWh,Nuclear,830288
2019,United States,GWh,Nuclear,843330
1990,World,GWh,Nuclear,2012902
1995,World,GWh,Nuclear,2331951
2000,World,GWh,Nuclear,2590624
2005,World,GWh,Nuclear,2767952
2010,World,GWh,Nuclear,2756288
2015,World,GWh,Nuclear,2570070
2018,World,GWh,Nuclear,2710430
1990,China,GWh,Oil,50885
1995,China,GWh,Oil,55764
2000,China,GWh,Oil,47421
2005,China,GWh,Oil,50664
2010,China,GWh,Oil,14963
2015,China,GWh,Oil,9909
2018,China,GWh,Oil,11036
1990,India,GWh,Oil,10050
1995,India,GWh,Oil,11276
2000,India,GWh,Oil,21598
2005,India,GWh,Oil,17590
2010,India,GWh,Oil,17669
2015,India,GWh,Oil,10864
2019,India,GWh,Oil,7848
1990,Japan,GWh,Oil,250180
1995,Japan,GWh,Oil,204131
2000,Japan,GWh,Oil,134283
2005,Japan,GWh,Oil,135534
2010,Japan,GWh,Oil,95921
2015,Japan,GWh,Oil,97720
2019,Japan,GWh,Oil,47990
1990,Russian Federation,GWh,Oil,128639
1995,Russian Federation,GWh,Oil,67890
2000,Russian Federation,GWh,Oil,33091
2005,Russian Federation,GWh,Oil,21218
2010,Russian Federation,GWh,Oil,9312
2015,Russian Federation,GWh,Oil,10102
2019,Russian Federation,GWh,Oil,12010
1990,United States,GWh,Oil,130649
1995,United States,GWh,Oil,87189
2000,United States,GWh,Oil,118482
2005,United States,GWh,Oil,141290
2010,United States,GWh,Oil,48086
2015,United States,GWh,Oil,38837
2019,United States,GWh,Oil,35964
1990,World,GWh,Oil,1322975
1995,World,GWh,Oil,1228863
2000,World,GWh,Oil,1183808
2005,World,GWh,Oil,1129445
2010,World,GWh,Oil,970042
2015,World,GWh,Oil,1027686
2018,World,GWh,Oil,783703
1990,China,GWh,Solar PV,2
1995,China,GWh,Solar PV,7
2000,China,GWh,Solar PV,22
2005,China,GWh,Solar PV,84
